category,message
ham,Thanks for your help yesterday.
ham,I'll call you in the evening to discuss.
ham,Thanks for your help yesterday.
ham,"Hey, are we still on for dinner tonight?"
ham,Can you send me the updated file?
ham,Thanks for your help yesterday.
spam,Act now! Lowest prices guaranteed.
spam,Exclusive deal just for you. Don’t miss out!
ham,"Hey, are we still on for dinner tonight?"
spam,You have been selected for a cash prize. Reply immediately!
ham,Can you send me the updated file?
spam,Hot singles in your area waiting to chat. Click here.
spam,Congratulations! You've won a $1000 gift card. Click here to claim.
ham,Your order has been shipped successfully.
spam,Get free access to premium content. Click below.
ham,Can you send me the updated file?
ham,Let's catch up over coffee tomorrow.
spam,Get free access to premium content. Click below.
ham,Thanks for your help yesterday.
ham,Can you send me the updated file?
spam,Earn money fast working from home. Join today.
ham,Let's catch up over coffee tomorrow.
ham,"Hey, are we still on for dinner tonight?"
ham,"Hey, are we still on for dinner tonight?"
ham,I'll call you in the evening to discuss.
ham,Happy Birthday! Wishing you a wonderful day.
ham,Your order has been shipped successfully.
ham,Thanks for your help yesterday.
ham,Can you send me the updated file?
ham,I'll call you in the evening to discuss.
spam,You have been selected for a cash prize. Reply immediately!
ham,Let's catch up over coffee tomorrow.
ham,Your order has been shipped successfully.
spam,Congratulations! You've won a $1000 gift card. Click here to claim.
spam,Limited offer! Buy now and get 50% off.
ham,"Hey, are we still on for dinner tonight?"
ham,Your appointment is confirmed for next week.
spam,Your account has been suspended. Verify now.
spam,Earn money fast working from home. Join today.
ham,"Hey, are we still on for dinner tonight?"
ham,Don't forget the meeting at 10 AM.
spam,Act now! Lowest prices guaranteed.
ham,Let's catch up over coffee tomorrow.
spam,You are the lucky winner of our lottery. Claim your prize.
ham,"Hey, are we still on for dinner tonight?"
ham,Please find attached the project report.
ham,Let's catch up over coffee tomorrow.
spam,Hot singles in your area waiting to chat. Click here.
spam,Act now! Lowest prices guaranteed.
ham,Please find attached the project report.
spam,Act now! Lowest prices guaranteed.
ham,Your appointment is confirmed for next week.
ham,Thanks for your help yesterday.
ham,Can you send me the updated file?
spam,Hot singles in your area waiting to chat. Click here.
ham,Let's catch up over coffee tomorrow.
ham,Thanks for your help yesterday.
spam,Get free access to premium content. Click below.
ham,I'll call you in the evening to discuss.
ham,Can you send me the updated file?
ham,Your order has been shipped successfully.
ham,Can you send me the updated file?
ham,"Hey, are we still on for dinner tonight?"
ham,Let's catch up over coffee tomorrow.
ham,I'll call you in the evening to discuss.
spam,Limited offer! Buy now and get 50% off.
ham,Don't forget the meeting at 10 AM.
